Data da Compra,Produto,PrecoOriginal,PrecoPago,Fornecedor,Qtd. Comprada,TotalOriginal,TotalPago,CodCliente,Região Destino
,lâmpada,595.0,595.0,CONTOSO,,595.0,595.0,,Brasil - ES
1.1.2020,Ar Condicionado,595.0,368.9,Contoso,1.0,595.0,368.9,5.0,Brasil - ES
1.1.2020,Lâmpada,25.0,25.0,Southridge Video,1.0,25.0,25.0,3.0,Brasil - RJ
1.1.2020,Aparelho de Som,32.0,32.0,Uno Toys,4.0,128.0,128.0,2.0,Brasil - SP
1.1.2020,Ventilador,64.9,64.9,Uno Toys,2.0,129.8,129.8,8.0,Brasil - SP
1.1.2020,Rádio,8.88,6.04,Southridge Video,5.0,44.4,30.2,3.0,Brasil - SP
1.1.2020,Ar Condicionado,25.0,25.0,Southridge Video,1.0,25.0,25.0,3.0,Brasil - SP
1.1.2020,Lâmpada,25.0,25.0,Contoso,1.0,25.0,25.0,7.0,Brasil - SP
1.1.2020,Rádio,8.99,8.99,Uno Toys,4.0,35.96,35.96,3.0,Brasil - SP
1.1.2020,Rádio,8.99,8.99,Uno Toys,1.0,8.99,8.99,5.0,Brasil - RJ
1.1.2020,Gravador,8.99,8.99,Uno Toys,4.0,35.96,35.96,10.0,Brasil - SP
1.1.2020,Gravador,8.99,5.84,Uno Toys,4.0,35.96,23.36,3.0,Brasil - SP
1.1.2020,Aparelho de Som,72.45,63.03,Uno Toys,5.0,362.25,315.15,6.0,Brasil - SP
1.1.2020,Geladeira,409.0,409.0,Contoso,1.0,409.0,409.0,2.0,Brasil - ES
1.1.2020,Aparelho de Som,55.9,55.9,Uno Toys,1.0,55.9,55.9,2.0,Brasil - SP
1.1.2020,Aparelho de Som,89.0,89.0,Uno Toys,1.0,89.0,89.0,3.0,Brasil - SP
1.1.2020,Aparelho de Som,34.0,34.0,Uno Toys,1.0,34.0,34.0,10.0,Brasil - BA
1.1.2020,Ventilador,94.8,94.8,Uno Toys,1.0,94.8,94.8,1.0,Brasil - ES
1.1.2020,Rádio,8.88,8.88,Southridge Video,1.0,8.88,8.88,10.0,Brasil - SP
1.1.2020,Rádio,16.89,16.89,Uno Toys,1.0,16.89,16.89,2.0,Brasil - SP
1.1.2020,Ar Condicionado,595.0,529.55,Contoso,2.0,1190.0,1059.1,7.0,Brasil - SP
1.1.2020,Monitor,126.9,126.9,Southridge Video,1.0,126.9,126.9,10.0,Brasil - SP
1.1.2020,Monitor,126.9,116.75,Southridge Video,1.0,126.9,116.75,8.0,Brasil - SP
1.1.2020,Monitor,126.9,101.52,Southridge Video,1.0,126.9,101.52,2.0,Brasil - SP
1.1.2020,Monitor,126.9,126.9,Southridge Video,2.0,253.8,253.8,10.0,Brasil - SP
1.1.2020,Projetor,126.9,126.9,Southridge Video,5.0,634.5,634.5,6.0,Brasil - SP
1.1.2020,Monitor,126.9,81.22,Southridge Video,1.0,126.9,81.22,6.0,Brasil - RJ
1.1.2020,Monitor,126.9,126.9,Southridge Video,4.0,507.6,507.6,10.0,Brasil - RJ
1.1.2020,Monitor,126.9,119.29,Southridge Video,4.0,507.6,477.16,8.0,Brasil - MA
1.1.2020,Monitor,126.9,85.01999999999998,Southridge Video,1.0,126.9,85.01999999999998,8.0,Brasil - RJ
1.1.2020,AR CONDICIONADO,126.9,126.9,Southridge Video,5.0,634.5,634.5,9.0,Brasil - RJ
1.1.2020,Projetor,126.9,123.09,Southridge Video,3.0,380.7,369.27,2.0,Brasil - SP
1.1.2020,Ar Condicionado,126.9,104.06,Southridge Video,4.0,507.6,416.24,9.0,Brasil - RJ
1.1.2020,Projetor,126.9,123.09,Southridge Video,1.0,126.9,123.09,6.0,Brasil - RJ
2.1.2020,Ar Condicionado,595.0,523.6,Contoso,1.0,595.0,523.6,7.0,Brasil - SP
2.1.2020,Ar Condicionado,25.0,25.0,Contoso,1.0,25.0,25.0,9.0,Brasil - RJ
2.1.2020,Microondas,199.0,199.0,Southridge Video,1.0,199.0,199.0,4.0,Brasil - SP
2.1.2020,Ventilador,70.13,70.13,Uno Toys,1.0,70.13,70.13,10.0,Brasil - MA
2.1.2020,Lâmpada,595.0,595.0,Contoso,1.0,595.0,595.0,5.0,Brasil - SP
2.1.2020,Lâmpada,595.0,595.0,Contoso,3.0,1785.0,1785.0,4.0,Brasil - RJ
2.1.2020,lâmpada,25.0,25.0,Contoso,1.0,25.0,25.0,3.0,Brasil - BA
2.1.2020,Ar Condicionado,25.0,25.0,Contoso,4.0,100.0,100.0,1.0,Brasil - SP
2.1.2020,Rádio,16.89,16.89,Uno Toys,1.0,16.89,16.89,2.0,Brasil - RJ
2.1.2020,Aparelho de Som,43.0,43.0,Uno Toys,1.0,43.0,43.0,6.0,Brasil - SP
2.1.2020,Aparelho de Som,31.39,31.39,Uno Toys,1.0,31.39,31.39,7.0,Brasil - SP
2.1.2020,Ventilador,70.13,70.13,Uno Toys,3.0,210.39,210.39,3.0,Brasil - RJ
2.1.2020,Rádio,8.88,8.79,Southridge Video,1.0,8.88,8.79,10.0,Brasil - SP
2.1.2020,Rádio,8.88,8.439999999999998,Southridge Video,4.0,35.52,33.76,2.0,Brasil - RJ
2.1.2020,Rádio,8.88,8.88,Southridge Video,1.0,8.88,8.88,2.0,Brasil - SP
