Numero Ordem,Cod Operador,Produto,Ocorrência,Inicio,Fim,Qtd Produzida,Qtd Rejeitada
1,,racing madness 2009 e169,Preparação de Máquina,08.01.2021 10:56:03,08.01.2021 12:31:35,,
1,1,Racing Madness 2009 E169,Controle de Qualidade,09.01.2021 13:58:39,09.01.2021 14:18:26,0,0
1,9,Racing Madness 2009 E169,,05.01.2021 15:27:04,05.01.2021 17:32:41,388,0
2,3,Home Theater System 4.1 Channel M412 Silver,Preparação de Máquina,04.01.2021 15:58:27,04.01.2021 16:18:36,0,0
2,9,Home Theater System 4.1 Channel M412 Silver,Controle de Qualidade,08.01.2021 12:39:10,08.01.2021 12:58:53,0,0
2,2,Home Theater System 4.1 Channel M412 Silver,,03.01.2021 17:33:47,03.01.2021 18:24:41,14,0
3,4,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,09.01.2021 07:51:01,09.01.2021 08:10:57,0,0
3,10,Home Theater System 7.1 Channel M710 Brown,,08.01.2021 10:16:01,08.01.2021 10:31:47,40,0
3,3,Home Theater System 7.1 Channel M710 Brown,Outros,05.01.2021 10:42:40,05.01.2021 11:12:55,0,0
3,5,Home Theater System 7.1 Channel M710 Brown,,05.01.2021 15:16:42,05.01.2021 16:32:30,40,0
4,5,Racing Madness 2009 E169,Preparação de Máquina,09.01.2021 08:02:58,09.01.2021 23:07:41,0,0
4,3,Racing Madness 2009 E169,Controle de Qualidade,06.01.2021 16:25:32,07.01.2021 03:30:28,0,0
4,10,Racing Madness 2009 E169,,05.01.2021 14:03:24,05.01.2021 14:54:02,247,0
5,8,Bicycle Board Games X500,,05.01.2021 13:46:16,05.01.2021 14:07:11,209,0
6,9,Zoo Tycoon 2: Extinct Animals M210,Preparação de Máquina,08.01.2021 10:24:31,08.01.2021 10:44:16,0,0
6,5,Zoo Tycoon 2: Extinct Animals M210,Controle de Qualidade,05.01.2021 09:54:08,05.01.2021 10:14:08,0,0
6,5,Zoo Tycoon 2: Extinct Animals M210,,05.01.2021 10:48:25,05.01.2021 14:39:16,303,0
7,3,Home Theater System 7.1 Channel M710 Brown,Preparação de Máquina,04.01.2021 17:19:40,04.01.2021 18:09:28,0,0
7,2,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,06.01.2021 14:59:51,06.01.2021 15:39:44,0,0
7,2,Home Theater System 7.1 Channel M710 Brown,Outros,04.01.2021 15:51:50,04.01.2021 17:02:07,0,0
7,9,Home Theater System 7.1 Channel M710 Brown,,09.01.2021 15:50:32,09.01.2021 17:31:23,107,0
7,7,Home Theater System 7.1 Channel M710 Brown,,04.01.2021 16:31:35,04.01.2021 16:46:45,107,0
8,5,Home Theater System 7.1 Channel M710 Brown,Preparação de Máquina,05.01.2021 09:12:31,05.01.2021 10:37:23,0,0
8,3,Home Theater System 7.1 Channel M710 Brown,Controle de Qualidade,05.01.2021 10:28:59,05.01.2021 10:48:48,0,0
8,1,Home Theater System 7.1 Channel M710 Brown,,03.01.2021 13:34:19,03.01.2021 14:09:30,108,0
9,8,Combat Flight Simulator 2 M400,,07.01.2021 13:17:11,07.01.2021 13:35:43,320,0
10,8,Home Theater System 2.1 Channel M1210 Black,Preparação de Máquina,04.01.2021 09:07:46,04.01.2021 09:27:48,0,0
10,3,Home Theater System 2.1 Channel M1210 Black,Controle de Qualidade,08.01.2021 11:12:37,08.01.2021 11:29:21,0,0
10,5,Home Theater System 2.1 Channel M1210 Black,,05.01.2021 09:50:41,05.01.2021 10:12:59,203,0
11,3,Home Theater System 2.1 Channel M1210 Silver,Preparação de Máquina,03.01.2021 13:13:26,03.01.2021 13:34:04,0,0
11,1,HOME THEATER SYSTEM 2.1 CHANNEL M1210 SILVER,Controle de Qualidade,05.01.2021 13:45:50,05.01.2021 14:02:34,0,0
12,7,Bicycle Board Games X500,Preparação de Máquina,05.01.2021 09:37:17,05.01.2021 09:53:59,0,0
12,4,Bicycle Board Games X500,Controle de Qualidade,05.01.2021 15:18:43,05.01.2021 15:35:37,0,0
12,1,Bicycle Board Games X500,,03.01.2021 14:18:31,03.01.2021 15:39:41,355,0
13,1,Age of Mythology: The Titans Expansion 2009 E148,Preparação de Máquina,04.01.2021 10:29:25,04.01.2021 10:50:16,0,0
11,8,Home Theater System 2.1 Channel M1210 Silver,,05.01.2021 09:10:30,05.01.2021 09:33:54,258,0
13,2,Age of Mythology: The Titans Expansion 2009 E148,Controle de Qualidade,06.01.2021 11:56:49,06.01.2021 12:14:58,0,0
13,10,Age of Mythology: The Titans Expansion 2009 E148,,08.01.2021 14:49:37,08.01.2021 15:17:49,30,0
14,8,Home Theater System 2.1 Channel E212 Silver,Preparação de Máquina,07.01.2021 08:27:01,07.01.2021 08:56:35,0,0
14,2,Home Theater System 2.1 Channel E212 Silver,Falha Operador,05.01.2021 07:45:15,05.01.2021 09:59:59,0,0
14,10,home theater system 2.1 channel e212 silver,Controle de Qualidade,03.01.2021 14:25:52,03.01.2021 14:46:00,0,0
14,5,Home Theater System 2.1 Channel E212 Silver,Falha Operador,05.01.2021 10:11:25,05.01.2021 11:01:27,68,9
14,8,Home Theater System 2.1 Channel E212 Silver,Falha Operador,07.01.2021 07:18:11,07.01.2021 09:02:54,68,0
15,6,Hand Games men M300 Silver,Controle de Qualidade,05.01.2021 09:27:38,05.01.2021 09:47:46,0,0
15,9,Hand Games men M300 Silver,Falha Operador,04.01.2021 15:01:09,04.01.2021 17:40:44,275,0
16,7,Wireless Bluetooth Stereo Headphones M402 Red,Preparação de Máquina,04.01.2021 12:42:54,04.01.2021 13:02:52,0,0
16,6,Wireless Bluetooth Stereo Headphones M402 Red,Controle de Qualidade,05.01.2021 14:48:37,05.01.2021 15:08:39,0,0
16,2,Wireless Bluetooth Stereo Headphones M402 Red,,06.01.2021 10:15:18,06.01.2021 10:35:57,391,0
17,7,Home Theater System 4.1 Channel M412 Brown,Preparação de Máquina,03.01.2021 16:20:03,03.01.2021 16:40:16,0,0
