Código Projeto,Setor,Valor Orçado,Valor Negociado,Desconto Concedido,Data Ativação Lead,Data Início,Data Termino,Cod Responsavel,Status
PA-0001,produção,R$ 9000.00,,,1.1.2016,,,4,EM NEGOCIAÇÃO
PA-0002,Comercial,R$ 29400.00,R$ 29400.00,R$ 0.00,2.1.2016,,,4,Prospecção
PA-0003,Financeiro,R$ 21600.00,R$ 21600.00,R$ 0.00,2.1.2016,,,7,Prospecção
PA-0004,RH,R$ 7000.00,R$ 7000.00,R$ 0.00,3.1.2016,,,2,Prospecção
PA-0005,Marketing,R$ 10100.00,R$ 10100.00,R$ 0.00,4.1.2016,,,4,Prospecção
PA-0006,Comercial,R$ 15100.00,R$ 13600.00,R$ 1500.00,4.1.2016,1.2.2016,27.2.2016,6,Finalizado
PA-0007,Compras,R$ 26300.00,R$ 26300.00,R$ 0.00,4.1.2016,,,8,Prospecção
PA-0008,Logística,R$ 33700.00,R$ 27000.00,R$ 6700.00,5.1.2016,8.3.2016,,8,Em andamento
PA-0009,Marketing,R$ 13800.00,R$ 13800.00,R$ 0.00,6.1.2016,31.1.2016,,9,Em andamento
PA-0010,Comercial,R$ 33900.00,R$ 33900.00,R$ 0.00,7.1.2016,12.3.2016,15.6.2016,10,Finalizado
PA-0011,Marketing,R$ 15700.00,R$ 15700.00,R$ 0.00,8.1.2016,,,7,Prospecção
PA-0012,Logística,R$ 32700.00,R$ 32700.00,R$ 0.00,9.1.2016,,,10,Prospecção
PA-0013,Produção,R$ 3400.00,R$ 3400.00,R$ 0.00,9.1.2016,,,2,Prospecção
PA-0014,Financeiro,R$ 11200.00,R$ 9000.00,R$ 2200.00,10.1.2016,15.2.2016,22.3.2016,8,Finalizado
PA-0015,Financeiro,R$ 10800.00,R$ 10800.00,R$ 0.00,10.1.2016,,,3,Em negociação
PA-0016,Financeiro,R$ 23900.00,R$ 21500.00,R$ 2400.00,10.1.2016,,,2,Em negociação
PA-0017,TI,R$ 28600.00,R$ 28600.00,R$ 0.00,11.1.2016,,,6,Aguardando NF
PA-0018,Compras,R$ 27900.00,R$ 25100.00,R$ 2800.00,11.1.2016,,,8,Prospecção
PA-0019,Logística,R$ 5900.00,R$ 5900.00,R$ 0.00,11.1.2016,28.2.2016,,2,Em andamento
PA-0020,Comercial,R$ 21900.00,R$ 21900.00,R$ 0.00,11.1.2016,,,1,Em negociação
PA-0021,Comercial,R$ 3900.00,R$ 3900.00,R$ 0.00,12.1.2016,,,5,Prospecção
PA-0022,Logística,R$ 30700.00,R$ 21500.00,R$ 9200.00,12.1.2016,,,8,Em negociação
PA-0023,Marketing,R$ 14800.00,R$ 14800.00,R$ 0.00,13.1.2016,,,8,Em negociação
PA-0024,Comercial,R$ 15900.00,R$ 15900.00,R$ 0.00,14.1.2016,8.3.2016,,5,Em andamento
PA-0025,Financeiro,R$ 20600.00,R$ 20600.00,R$ 0.00,15.1.2016,,,5,Prospecção
PA-0026,TI,R$ 21400.00,R$ 21400.00,R$ 0.00,15.1.2016,,,10,Prospecção
PA-0027,Logística,R$ 3300.00,R$ 3300.00,R$ 0.00,16.1.2016,,,5,Aguardando NF
PA-0028,Comercial,R$ 24400.00,R$ 24400.00,R$ 0.00,16.1.2016,,,4,Prospecção
PA-0029,Marketing,R$ 29100.00,R$ 29100.00,R$ 0.00,17.1.2016,,,1,Prospecção
PA-0030,Financeiro,R$ 5900.00,R$ 5300.00,R$ 600.00,18.1.2016,,,4,Aguardando NF
PA-0031,COMERCIAL,R$ 29100.00,R$ 29100.00,R$ 0.00,19.1.2016,,,5,Em negociação
PA-0032,Financeiro,R$ 29200.00,R$ 29200.00,R$ 0.00,20.1.2016,,,5,Em negociação
PA-0033,Marketing,R$ 24700.00,R$ 19800.00,R$ 4900.00,20.1.2016,24.3.2016,,10,Em andamento
PA-0034,Marketing,R$ 16200.00,R$ 16200.00,R$ 0.00,20.1.2016,,,1,Em negociação
PA-0035,Logística,R$ 18100.00,R$ 18100.00,R$ 0.00,21.1.2016,,,5,Em negociação
PA-0036,Produção,R$ 35000.00,R$ 35000.00,R$ 0.00,22.1.2016,,,7,Aguardando NF
PA-0037,Comercial,R$ 10000.00,R$ 8000.00,R$ 2000.00,23.1.2016,20.2.2016,2.5.2016,3,Finalizado
PA-0038,TI,R$ 15700.00,R$ 15700.00,R$ 0.00,23.1.2016,,,5,Prospecção
